"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","ELECTRICITY","TOT","GWH","A","2021",34148,
"HUN","ELECTRICITY","TOT","GWH","A","2022",,"L"
"ISL","ELECTRICITY","TOT","GWH","A","1990",4452,
"ISL","ELECTRICITY","TOT","GWH","A","1991",4432,
"ISL","ELECTRICITY","TOT","GWH","A","1992",4490,
"ISL","ELECTRICITY","TOT","GWH","A","1993",4667,
"ISL","ELECTRICITY","TOT","GWH","A","1994",4720,
"ISL","ELECTRICITY","TOT","GWH","A","1995",4903,
"ISL","ELECTRICITY","TOT","GWH","A","1996",5057,
"ISL","ELECTRICITY","TOT","GWH","A","1997",5522,
"ISL","ELECTRICITY","TOT","GWH","A","1998",6197,
"ISL","ELECTRICITY","TOT","GWH","A","1999",7071,
"ISL","ELECTRICITY","TOT","GWH","A","2000",7554,
"ISL","ELECTRICITY","TOT","GWH","A","2001",7892,
"ISL","ELECTRICITY","TOT","GWH","A","2002",8272,
"ISL","ELECTRICITY","TOT","GWH","A","2003",8356,
"ISL","ELECTRICITY","TOT","GWH","A","2004",8475,
"ISL","ELECTRICITY","TOT","GWH","A","2005",8513,
"ISL","ELECTRICITY","TOT","GWH","A","2006",9795,
"ISL","ELECTRICITY","TOT","GWH","A","2007",11783,
"ISL","ELECTRICITY","TOT","GWH","A","2008",16166,
"ISL","ELECTRICITY","TOT","GWH","A","2009",16521,
"ISL","ELECTRICITY","TOT","GWH","A","2010",16746,
"ISL","ELECTRICITY","TOT","GWH","A","2011",16851,
"ISL","ELECTRICITY","TOT","GWH","A","2012",17296,
"ISL","ELECTRICITY","TOT","GWH","A","2013",18000,
"ISL","ELECTRICITY","TOT","GWH","A","2014",17803,
"ISL","ELECTRICITY","TOT","GWH","A","2015",18558,
"ISL","ELECTRICITY","TOT","GWH","A","2016",18172,
"ISL","ELECTRICITY","TOT","GWH","A","2017",18846.295,
"ISL","ELECTRICITY","TOT","GWH","A","2018",19432.498,
"ISL","ELECTRICITY","TOT","GWH","A","2019",19119.793,
"ISL","ELECTRICITY","TOT","GWH","A","2020",18778.694,
"ISL","ELECTRICITY","TOT","GWH","A","2021",19226.948,
"ISL","ELECTRICITY","TOT","GWH","A","2022",,"L"
"IRL","ELECTRICITY","TOT","GWH","A","1990",13650,
"IRL","ELECTRICITY","TOT","GWH","A","1991",14243,
"IRL","ELECTRICITY","TOT","GWH","A","1992",15037,
"IRL","ELECTRICITY","TOT","GWH","A","1993",15419,
"IRL","ELECTRICITY","TOT","GWH","A","1994",16114,
"IRL","ELECTRICITY","TOT","GWH","A","1995",16818,
"IRL","ELECTRICITY","TOT","GWH","A","1996",18077,
"IRL","ELECTRICITY","TOT","GWH","A","1997",18825,
"IRL","ELECTRICITY","TOT","GWH","A","1998",20000,
"IRL","ELECTRICITY","TOT","GWH","A","1999",20890,
"IRL","ELECTRICITY","TOT","GWH","A","2000",22685,
"IRL","ELECTRICITY","TOT","GWH","A","2001",23679,
"IRL","ELECTRICITY","TOT","GWH","A","2002",23926,
"IRL","ELECTRICITY","TOT","GWH","A","2003",24065,
"IRL","ELECTRICITY","TOT","GWH","A","2004",24413,
"IRL","ELECTRICITY","TOT","GWH","A","2005",24791,
"IRL","ELECTRICITY","TOT","GWH","A","2006",26122,
"IRL","ELECTRICITY","TOT","GWH","A","2007",27435,
"IRL","ELECTRICITY","TOT","GWH","A","2008",28927,
"IRL","ELECTRICITY","TOT","GWH","A","2009",27127,
"IRL","ELECTRICITY","TOT","GWH","A","2010",27442,
"IRL","ELECTRICITY","TOT","GWH","A","2011",26365,
"IRL","ELECTRICITY","TOT","GWH","A","2012",26479,
"IRL","ELECTRICITY","TOT","GWH","A","2013",25116,
"IRL","ELECTRICITY","TOT","GWH","A","2014",25312,
"IRL","ELECTRICITY","TOT","GWH","A","2015",27623,
"IRL","ELECTRICITY","TOT","GWH","A","2016",29692,
"IRL","ELECTRICITY","TOT","GWH","A","2017",30093.469,
"IRL","ELECTRICITY","TOT","GWH","A","2018",30357.613,
"IRL","ELECTRICITY","TOT","GWH","A","2019",30276.095,
"IRL","ELECTRICITY","TOT","GWH","A","2020",31518.797,
"IRL","ELECTRICITY","TOT","GWH","A","2021",31019.939,
"IRL","ELECTRICITY","TOT","GWH","A","2022",,"L"
"ITA","ELECTRICITY","TOT","GWH","A","1990",205064,
"ITA","ELECTRICITY","TOT","GWH","A","1991",210290,
"ITA","ELECTRICITY","TOT","GWH","A","1992",214443,
"ITA","ELECTRICITY","TOT","GWH","A","1993",211371,
"ITA","ELECTRICITY","TOT","GWH","A","1994",220172,
"ITA","ELECTRICITY","TOT","GWH","A","1995",229216,
"ITA","ELECTRICITY","TOT","GWH","A","1996",232374,
"ITA","ELECTRICITY","TOT","GWH","A","1997",239297,
"ITA","ELECTRICITY","TOT","GWH","A","1998",246953,
"ITA","ELECTRICITY","TOT","GWH","A","1999",252748,
"ITA","ELECTRICITY","TOT","GWH","A","2000",263305,
"ITA","ELECTRICITY","TOT","GWH","A","2001",265981,
"ITA","ELECTRICITY","TOT","GWH","A","2002",270799,
"ITA","ELECTRICITY","TOT","GWH","A","2003",280203,
"ITA","ELECTRICITY","TOT","GWH","A","2004",290047,
"ITA","ELECTRICITY","TOT","GWH","A","2005",290635,
"ITA","ELECTRICITY","TOT","GWH","A","2006",301259,
"ITA","ELECTRICITY","TOT","GWH","A","2007",301299,
"ITA","ELECTRICITY","TOT","GWH","A","2008",307065,
"ITA","ELECTRICITY","TOT","GWH","A","2009",281106,
"ITA","ELECTRICITY","TOT","GWH","A","2010",290746,
"ITA","ELECTRICITY","TOT","GWH","A","2011",291442,
"ITA","ELECTRICITY","TOT","GWH","A","2012",287803,
"ITA","ELECTRICITY","TOT","GWH","A","2013",278833,
"ITA","ELECTRICITY","TOT","GWH","A","2014",269148,
"ITA","ELECTRICITY","TOT","GWH","A","2015",272428,
"ITA","ELECTRICITY","TOT","GWH","A","2016",279703,
"ITA","ELECTRICITY","TOT","GWH","A","2017",285265.649,
"ITA","ELECTRICITY","TOT","GWH","A","2018",279844.619,
"ITA","ELECTRICITY","TOT","GWH","A","2019",283950.056,
"ITA","ELECTRICITY","TOT","GWH","A","2020",271647.989,
"ITA","ELECTRICITY","TOT","GWH","A","2021",280045.209,
"ITA","ELECTRICITY","TOT","GWH","A","2022",,"L"
"JPN","ELECTRICITY","TOT","GWH","A","1990",837851,
"JPN","ELECTRICITY","TOT","GWH","A","1991",864507,
"JPN","ELECTRICITY","TOT","GWH","A","1992",868653,
"JPN","ELECTRICITY","TOT","GWH","A","1993",876534,
"JPN","ELECTRICITY","TOT","GWH","A","1994",930540,
"JPN","ELECTRICITY","TOT","GWH","A","1995",951529,
"JPN","ELECTRICITY","TOT","GWH","A","1996",971393,
"JPN","ELECTRICITY","TOT","GWH","A","1997",994887,
"JPN","ELECTRICITY","TOT","GWH","A","1998",991715,
"JPN","ELECTRICITY","TOT","GWH","A","1999",1008686,
"JPN","ELECTRICITY","TOT","GWH","A","2000",1027332,
"JPN","ELECTRICITY","TOT","GWH","A","2001",1010231,
"JPN","ELECTRICITY","TOT","GWH","A","2002",1027800,
"JPN","ELECTRICITY","TOT","GWH","A","2003",1018851,
"JPN","ELECTRICITY","TOT","GWH","A","2004",1047309,
"JPN","ELECTRICITY","TOT","GWH","A","2005",1065919,
"JPN","ELECTRICITY","TOT","GWH","A","2006",1070410,
"JPN","ELECTRICITY","TOT","GWH","A","2007",1098994,
"JPN","ELECTRICITY","TOT","GWH","A","2008",1066154,
"JPN","ELECTRICITY","TOT","GWH","A","2009",1049551,
"JPN","ELECTRICITY","TOT","GWH","A","2010",1128253,
"JPN","ELECTRICITY","TOT","GWH","A","2011",1072610,
"JPN","ELECTRICITY","TOT","GWH","A","2012",1061496,
"JPN","ELECTRICITY","TOT","GWH","A","2013",1066755,
"JPN","ELECTRICITY","TOT","GWH","A","2014",1040459,
"JPN","ELECTRICITY","TOT","GWH","A","2015",1024018,
"JPN","ELECTRICITY","TOT","GWH","A","2016",1025597,
"JPN","ELECTRICITY","TOT","GWH","A","2017",1032674.437,
"JPN","ELECTRICITY","TOT","GWH","A","2018",1023768.066,
"JPN","ELECTRICITY","TOT","GWH","A","2019",997015.238,
"JPN","ELECTRICITY","TOT","GWH","A","2020",976902.756,
"JPN","ELECTRICITY","TOT","GWH","A","2021",1008539.948,
"JPN","ELECTRICITY","TOT","GWH","A","2022",,"L"
"KOR","ELECTRICITY","TOT","GWH","A","1990",100290,
"KOR","ELECTRICITY","TOT","GWH","A","1991",109234,
"KOR","ELECTRICITY","TOT","GWH","A","1992",120191,
"KOR","ELECTRICITY","TOT","GWH","A","1993",138338,
"KOR","ELECTRICITY","TOT","GWH","A","1994",156381,
"KOR","ELECTRICITY","TOT","GWH","A","1995",175787,
"KOR","ELECTRICITY","TOT","GWH","A","1996",196715,
"KOR","ELECTRICITY","TOT","GWH","A","1997",215127,
"KOR","ELECTRICITY","TOT","GWH","A","1998",208115,
"KOR","ELECTRICITY","TOT","GWH","A","1999",226512,
"KOR","ELECTRICITY","TOT","GWH","A","2000",277691,
"KOR","ELECTRICITY","TOT","GWH","A","2001",297872,
"KOR","ELECTRICITY","TOT","GWH","A","2002",317295,
"KOR","ELECTRICITY","TOT","GWH","A","2003",329666,
"KOR","ELECTRICITY","TOT","GWH","A","2004",352725,
"KOR","ELECTRICITY","TOT","GWH","A","2005",372795,
"KOR","ELECTRICITY","TOT","GWH","A","2006",388205,
"KOR","ELECTRICITY","TOT","GWH","A","2007",410370,
"KOR","ELECTRICITY","TOT","GWH","A","2008",428661,
"KOR","ELECTRICITY","TOT","GWH","A","2009",434978,
"KOR","ELECTRICITY","TOT","GWH","A","2010",480392,
"KOR","ELECTRICITY","TOT","GWH","A","2011",503150,
"KOR","ELECTRICITY","TOT","GWH","A","2012",514346,
"KOR","ELECTRICITY","TOT","GWH","A","2013",521470,
"KOR","ELECTRICITY","TOT","GWH","A","2014",530007,
"KOR","ELECTRICITY","TOT","GWH","A","2015",528964,
"KOR","ELECTRICITY","TOT","GWH","A","2016",540084,
"KOR","ELECTRICITY","TOT","GWH","A","2017",545796.002,
"KOR","ELECTRICITY","TOT","GWH","A","2018",566845.053,
"KOR","ELECTRICITY","TOT","GWH","A","2019",559099.467,
"KOR","ELECTRICITY","TOT","GWH","A","2020",556911.298,
"KOR","ELECTRICITY","TOT","GWH","A","2021",580503.573,
"KOR","ELECTRICITY","TOT","GWH","A","2022",,"L"
"LUX","ELECTRICITY","TOT","GWH","A","1990",1333,
"LUX","ELECTRICITY","TOT","GWH","A","1991",1337,
"LUX","ELECTRICITY","TOT","GWH","A","1992",1153,
"LUX","ELECTRICITY","TOT","GWH","A","1993",1021,
"LUX","ELECTRICITY","TOT","GWH","A","1994",1107,
"LUX","ELECTRICITY","TOT","GWH","A","1995",1192,
"LUX","ELECTRICITY","TOT","GWH","A","1996",1227,
"LUX","ELECTRICITY","TOT","GWH","A","1997",1234,
"LUX","ELECTRICITY","TOT","GWH","A","1998",1255,
"LUX","ELECTRICITY","TOT","GWH","A","1999",1008,
"LUX","ELECTRICITY","TOT","GWH","A","2000",1132,
"LUX","ELECTRICITY","TOT","GWH","A","2001",1586,
"LUX","ELECTRICITY","TOT","GWH","A","2002",3673,
"LUX","ELECTRICITY","TOT","GWH","A","2003",3598,
"LUX","ELECTRICITY","TOT","GWH","A","2004",4103,
"LUX","ELECTRICITY","TOT","GWH","A","2005",4105,
"LUX","ELECTRICITY","TOT","GWH","A","2006",4302,
"LUX","ELECTRICITY","TOT","GWH","A","2007",3960,
"LUX","ELECTRICITY","TOT","GWH","A","2008",3517,
"LUX","ELECTRICITY","TOT","GWH","A","2009",3837,
"LUX","ELECTRICITY","TOT","GWH","A","2010",4561,
"LUX","ELECTRICITY","TOT","GWH","A","2011",3694,
"LUX","ELECTRICITY","TOT","GWH","A","2012",3787,
"LUX","ELECTRICITY","TOT","GWH","A","2013",2860,
"LUX","ELECTRICITY","TOT","GWH","A","2014",2938,
"LUX","ELECTRICITY","TOT","GWH","A","2015",2738,
"LUX","ELECTRICITY","TOT","GWH","A","2016",2168,
"LUX","ELECTRICITY","TOT","GWH","A","2017",2204.811,
"LUX","ELECTRICITY","TOT","GWH","A","2018",2170.172,
"LUX","ELECTRICITY","TOT","GWH","A","2019",1877.378,
"LUX","ELECTRICITY","TOT","GWH","A","2020",2205.471,
"LUX","ELECTRICITY","TOT","GWH","A","2021",2179.715,
"LUX","ELECTRICITY","TOT","GWH","A","2022",,"L"
"MEX","ELECTRICITY","TOT","GWH","A","1990",110011,
"MEX","ELECTRICITY","TOT","GWH","A","1991",121988,
"MEX","ELECTRICITY","TOT","GWH","A","1992",126290,
"MEX","ELECTRICITY","TOT","GWH","A","1993",128942,
"MEX","ELECTRICITY","TOT","GWH","A","1994",139603,
"MEX","ELECTRICITY","TOT","GWH","A","1995",145074,
"MEX","ELECTRICITY","TOT","GWH","A","1996",149539,
"MEX","ELECTRICITY","TOT","GWH","A","1997",158408,
"MEX","ELECTRICITY","TOT","GWH","A","1998",172127,
"MEX","ELECTRICITY","TOT","GWH","A","1999",181730,
"MEX","ELECTRICITY","TOT","GWH","A","2000",195104,
"MEX","ELECTRICITY","TOT","GWH","A","2001",201053,
"MEX","ELECTRICITY","TOT","GWH","A","2002",206602,
"MEX","ELECTRICITY","TOT","GWH","A","2003",206788,
"MEX","ELECTRICITY","TOT","GWH","A","2004",223884,
"MEX","ELECTRICITY","TOT","GWH","A","2005",235865,
"MEX","ELECTRICITY","TOT","GWH","A","2006",245004,
"MEX","ELECTRICITY","TOT","GWH","A","2007",251855,
"MEX","ELECTRICITY","TOT","GWH","A","2008",258453,
"MEX","ELECTRICITY","TOT","GWH","A","2009",256746,
"MEX","ELECTRICITY","TOT","GWH","A","2010",264336,
"MEX","ELECTRICITY","TOT","GWH","A","2011",280095,
"MEX","ELECTRICITY","TOT","GWH","A","2012",284405,
"MEX","ELECTRICITY","TOT","GWH","A","2013",287090,
"MEX","ELECTRICITY","TOT","GWH","A","2014",290050,
"MEX","ELECTRICITY","TOT","GWH","A","2015",297777,
"MEX","ELECTRICITY","TOT","GWH","A","2016",302876,
"MEX","ELECTRICITY","TOT","GWH","A","2017",309919,
"MEX","ELECTRICITY","TOT","GWH","A","2018",346093,
"MEX","ELECTRICITY","TOT","GWH","A","2019",338330,
"MEX","ELECTRICITY","TOT","GWH","A","2020",312233.27,
"MEX","ELECTRICITY","TOT","GWH","A","2021",371511,
"MEX","ELECTRICITY","TOT","GWH","A","2022",,"L"
"NLD","ELECTRICITY","TOT","GWH","A","1990",69464,
"NLD","ELECTRICITY","TOT","GWH","A","1991",71784,
"NLD","ELECTRICITY","TOT","GWH","A","1992",74574,
"NLD","ELECTRICITY","TOT","GWH","A","1993",74184,
"NLD","ELECTRICITY","TOT","GWH","A","1994",76694,
"NLD","ELECTRICITY","TOT","GWH","A","1995",77770,
"NLD","ELECTRICITY","TOT","GWH","A","1996",81838,
"NLD","ELECTRICITY","TOT","GWH","A","1997",83009,
"NLD","ELECTRICITY","TOT","GWH","A","1998",87643,
"NLD","ELECTRICITY","TOT","GWH","A","1999",83157,
"NLD","ELECTRICITY","TOT","GWH","A","2000",85998,
"NLD","ELECTRICITY","TOT","GWH","A","2001",89812,
"NLD","ELECTRICITY","TOT","GWH","A","2002",92041,
"NLD","ELECTRICITY","TOT","GWH","A","2003",92840,
"NLD","ELECTRICITY","TOT","GWH","A","2004",97043,
"NLD","ELECTRICITY","TOT","GWH","A","2005",95598,
"NLD","ELECTRICITY","TOT","GWH","A","2006",94489,
"NLD","ELECTRICITY","TOT","GWH","A","2007",100751,
"NLD","ELECTRICITY","TOT","GWH","A","2008",103187,
"NLD","ELECTRICITY","TOT","GWH","A","2009",108767,
"NLD","ELECTRICITY","TOT","GWH","A","2010",114825,
"NLD","ELECTRICITY","TOT","GWH","A","2011",109145,
"NLD","ELECTRICITY","TOT","GWH","A","2012",99174,
"NLD","ELECTRICITY","TOT","GWH","A","2013",97450,
"NLD","ELECTRICITY","TOT","GWH","A","2014",98715,
"NLD","ELECTRICITY","TOT","GWH","A","2015",105731,
"NLD","ELECTRICITY","TOT","GWH","A","2016",110979,
"NLD","ELECTRICITY","TOT","GWH","A","2017",113399.526,
"NLD","ELECTRICITY","TOT","GWH","A","2018",110848.612,
"NLD","ELECTRICITY","TOT","GWH","A","2019",117859.335,
"NLD","ELECTRICITY","TOT","GWH","A","2020",119879.788,
"NLD","ELECTRICITY","TOT","GWH","A","2021",118390.442,
"NLD","ELECTRICITY","TOT","GWH","A","2022",,"L"
"NZL","ELECTRICITY","TOT","GWH","A","1990",31787,
"NZL","ELECTRICITY","TOT","GWH","A","1991",32730,
"NZL","ELECTRICITY","TOT","GWH","A","1992",32229,
"NZL","ELECTRICITY","TOT","GWH","A","1993",33676,
"NZL","ELECTRICITY","TOT","GWH","A","1994",34347,
"NZL","ELECTRICITY","TOT","GWH","A","1995",35575,
"NZL","ELECTRICITY","TOT","GWH","A","1996",35870,
"NZL","ELECTRICITY","TOT","GWH","A","1997",36306,
"NZL","ELECTRICITY","TOT","GWH","A","1998",36734,
"NZL","ELECTRICITY","TOT","GWH","A","1999",36776,
"NZL","ELECTRICITY","TOT","GWH","A","2000",38200,
"NZL","ELECTRICITY","TOT","GWH","A","2001",38344,
"NZL","ELECTRICITY","TOT","GWH","A","2002",39481,
"NZL","ELECTRICITY","TOT","GWH","A","2003",39526,
"NZL","ELECTRICITY","TOT","GWH","A","2004",41527,
"NZL","ELECTRICITY","TOT","GWH","A","2005",41526,
"NZL","ELECTRICITY","TOT","GWH","A","2006",42063,
"NZL","ELECTRICITY","TOT","GWH","A","2007",42421,
"NZL","ELECTRICITY","TOT","GWH","A","2008",42392,
"NZL","ELECTRICITY","TOT","GWH","A","2009",42170,
"NZL","ELECTRICITY","TOT","GWH","A","2010",43570,
"NZL","ELECTRICITY","TOT","GWH","A","2011",43269,
"NZL","ELECTRICITY","TOT","GWH","A","2012",43030,
"NZL","ELECTRICITY","TOT","GWH","A","2013",42200,
"NZL","ELECTRICITY","TOT","GWH","A","2014",42462,
"NZL","ELECTRICITY","TOT","GWH","A","2015",43139,
"NZL","ELECTRICITY","TOT","GWH","A","2016",42703,
"NZL","ELECTRICITY","TOT","GWH","A","2017",43108.881,
"NZL","ELECTRICITY","TOT","GWH","A","2018",43253.502,
"NZL","ELECTRICITY","TOT","GWH","A","2019",43589.8,
"NZL","ELECTRICITY","TOT","GWH","A","2020",43182.479,
"NZL","ELECTRICITY","TOT","GWH","A","2021",43269.585,
"NZL","ELECTRICITY","TOT","GWH","A","2022",,"L"
"NOR","ELECTRICITY","TOT","GWH","A","1990",120830,
"NOR","ELECTRICITY","TOT","GWH","A","1991",110083,
"NOR","ELECTRICITY","TOT","GWH","A","1992",116540,
"NOR","ELECTRICITY","TOT","GWH","A","1993",119261,
"NOR","ELECTRICITY","TOT","GWH","A","1994",112604,
"NOR","ELECTRICITY","TOT","GWH","A","1995",122607,
"NOR","ELECTRICITY","TOT","GWH","A","1996",104386,
"NOR","ELECTRICITY","TOT","GWH","A","1997",111052,
"NOR","ELECTRICITY","TOT","GWH","A","1998",116063,
"NOR","ELECTRICITY","TOT","GWH","A","1999",121753,
"NOR","ELECTRICITY","TOT","GWH","A","2000",142317,
"NOR","ELECTRICITY","TOT","GWH","A","2001",120970,
"NOR","ELECTRICITY","TOT","GWH","A","2002",130103,
"NOR","ELECTRICITY","TOT","GWH","A","2003",106784,
"NOR","ELECTRICITY","TOT","GWH","A","2004",109848,
"NOR","ELECTRICITY","TOT","GWH","A","2005",137374,
"NOR","ELECTRICITY","TOT","GWH","A","2006",120995,
"NOR","ELECTRICITY","TOT","GWH","A","2007",136636,
"NOR","ELECTRICITY","TOT","GWH","A","2008",141497,
"NOR","ELECTRICITY","TOT","GWH","A","2009",131165,
"NOR","ELECTRICITY","TOT","GWH","A","2010",123140,
"NOR","ELECTRICITY","TOT","GWH","A","2011",127039,
"NOR","ELECTRICITY","TOT","GWH","A","2012",147128,
"NOR","ELECTRICITY","TOT","GWH","A","2013",133485,
"NOR","ELECTRICITY","TOT","GWH","A","2014",141342,
"NOR","ELECTRICITY","TOT","GWH","A","2015",143904,
"NOR","ELECTRICITY","TOT","GWH","A","2016",148479,
"NOR","ELECTRICITY","TOT","GWH","A","2017",148763,
"NOR","ELECTRICITY","TOT","GWH","A","2018",146346.45,
"NOR","ELECTRICITY","TOT","GWH","A","2019",134075.925,
"NOR","ELECTRICITY","TOT","GWH","A","2020",154302.735,
"NOR","ELECTRICITY","TOT","GWH","A","2021",157247.272,
"NOR","ELECTRICITY","TOT","GWH","A","2022",,"L"
"POL","ELECTRICITY","TOT","GWH","A","1990",123410,
"POL","ELECTRICITY","TOT","GWH","A","1991",122181,
"POL","ELECTRICITY","TOT","GWH","A","1992",120409,
"POL","ELECTRICITY","TOT","GWH","A","1993",121554,
"POL","ELECTRICITY","TOT","GWH","A","1994",122853,
"POL","ELECTRICITY","TOT","GWH","A","1995",127442,
"POL","ELECTRICITY","TOT","GWH","A","1996",131195,
"POL","ELECTRICITY","TOT","GWH","A","1997",130309,
"POL","ELECTRICITY","TOT","GWH","A","1998",130278,
"POL","ELECTRICITY","TOT","GWH","A","1999",129498,
"POL","ELECTRICITY","TOT","GWH","A","2000",132214,
"POL","ELECTRICITY","TOT","GWH","A","2001",132666,
"POL","ELECTRICITY","TOT","GWH","A","2002",131374,
"POL","ELECTRICITY","TOT","GWH","A","2003",138367,
"POL","ELECTRICITY","TOT","GWH","A","2004",140789,
"POL","ELECTRICITY","TOT","GWH","A","2005",143615,
"POL","ELECTRICITY","TOT","GWH","A","2006",147685,
"POL","ELECTRICITY","TOT","GWH","A","2007",145393,
"POL","ELECTRICITY","TOT","GWH","A","2008",141498,
"POL","ELECTRICITY","TOT","GWH","A","2009",137908,
"POL","ELECTRICITY","TOT","GWH","A","2010",143457,
"POL","ELECTRICITY","TOT","GWH","A","2011",148913,
"POL","ELECTRICITY","TOT","GWH","A","2012",147649,
"POL","ELECTRICITY","TOT","GWH","A","2013",150079,
"POL","ELECTRICITY","TOT","GWH","A","2014",145214,
"POL","ELECTRICITY","TOT","GWH","A","2015",150695,
"POL","ELECTRICITY","TOT","GWH","A","2016",152003,
"POL","ELECTRICITY","TOT","GWH","A","2017",154869.344,
"POL","ELECTRICITY","TOT","GWH","A","2018",155259.671,
